,name,selling_price,km_driven,fuel,transmission
1649,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1650,-,-,-,-,-
1651,-,-,-,-,-
1652,2016 Maruti Wagon R 1.0,"351,899","81,832 km",Petrol,Manual
1653,-,-,-,-,-
1654,-,-,-,-,-
1655,-,-,-,-,-
1656,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1657,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1658,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
1659,-,-,-,-,-
1660,-,-,-,-,-
1661,-,-,-,-,-
1662,-,-,-,-,-
1663,2016 Maruti Ertiga,"768,899","45,759 km",Diesel,Manual
1664,2017 Maruti Baleno,"527,699","41,383 km",Petrol,Manual
1665,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1666,-,-,-,-,-
1667,-,-,-,-,-
1668,-,-,-,-,-
1669,-,-,-,-,-
1670,2018 Maruti Baleno,"592,299","22,287 km",Petrol,Manual
1671,-,-,-,-,-
1672,-,-,-,-,-
1673,-,-,-,-,-
1674,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1675,2016 Hyundai Grand i10,"467,699","31,884 km",Petrol,Manual
1676,-,-,-,-,-
1677,-,-,-,-,-
1678,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1679,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1680,-,-,-,-,-
1681,-,-,-,-,-
1682,-,-,-,-,-
1683,-,-,-,-,-
1684,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
1685,-,-,-,-,-
1686,2013 Maruti Swift,"354,799","76,608 km",Diesel,Manual
1687,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1688,-,-,-,-,-
1689,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1690,-,-,-,-,-
1691,-,-,-,-,-
1692,2016 Maruti Wagon R 1.0,"351,899","81,832 km",Petrol,Manual
1693,-,-,-,-,-
1694,-,-,-,-,-
1695,-,-,-,-,-
1696,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1697,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1698,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
1699,-,-,-,-,-
1700,-,-,-,-,-
1701,-,-,-,-,-
1702,-,-,-,-,-
1703,2016 Maruti Ertiga,"768,899","45,759 km",Diesel,Manual
1704,2017 Maruti Baleno,"527,699","41,383 km",Petrol,Manual
1705,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1706,-,-,-,-,-
1707,-,-,-,-,-
1708,-,-,-,-,-
1709,-,-,-,-,-
1710,2017 Maruti Baleno,"597,199","30,016 km",Petrol,Manual
1711,-,-,-,-,-
1712,-,-,-,-,-
1713,-,-,-,-,-
1714,2019 Maruti S PRESSO,"403,499","18,436 km",Petrol,Manual
1715,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
1716,-,-,-,-,-
1717,-,-,-,-,-
1718,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1719,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1720,-,-,-,-,-
1721,-,-,-,-,-
1722,-,-,-,-,-
1723,-,-,-,-,-
1724,2015 Maruti Swift,"547,399","63,035 km",Diesel,Manual
1725,-,-,-,-,-
1726,2015 Maruti Swift,"414,899","119,927 km",Petrol,Manual
1727,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1728,-,-,-,-,-
1729,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1730,-,-,-,-,-
1731,-,-,-,-,-
1732,2016 Maruti Wagon R 1.0,"351,899","81,832 km",Petrol,Manual
1733,-,-,-,-,-
1734,-,-,-,-,-
1735,-,-,-,-,-
1736,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1737,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1738,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
1739,-,-,-,-,-
1740,-,-,-,-,-
1741,-,-,-,-,-
1742,-,-,-,-,-
1743,2016 Maruti Ertiga,"774,199","99,644 km",Diesel,Manual
1744,2017 Maruti Baleno,"615,799","44,532 km",Petrol,Manual
1745,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1746,-,-,-,-,-
1747,-,-,-,-,-
1748,-,-,-,-,-
1749,-,-,-,-,-
1750,2020 Maruti Baleno,"631,999","7,237 km",Petrol,Manual
1751,-,-,-,-,-
1752,-,-,-,-,-
1753,-,-,-,-,-
1754,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1755,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
1756,-,-,-,-,-
1757,-,-,-,-,-
1758,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1759,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1760,-,-,-,-,-
1761,-,-,-,-,-
1762,-,-,-,-,-
1763,-,-,-,-,-
1764,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
1765,-,-,-,-,-
1766,2015 Maruti Swift,"403,699","64,108 km",Petrol,Manual
1767,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1768,-,-,-,-,-
1769,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1770,-,-,-,-,-
1771,-,-,-,-,-
1772,2016 Maruti Wagon R 1.0,"351,899","81,832 km",Petrol,Manual
1773,-,-,-,-,-
1774,-,-,-,-,-
1775,-,-,-,-,-
1776,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1777,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1778,2019 Hyundai Creta,"1,273,499","10,563 km",Petrol,
1779,-,-,-,-,-
1780,-,-,-,-,-
1781,-,-,-,-,-
1782,-,-,-,-,-
1783,2016 Maruti Ertiga,"774,199","99,644 km",Diesel,Manual
1784,2016 Maruti Baleno,"531,999","39,672 km",Petrol,Manual
1785,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1786,-,-,-,-,-
1787,-,-,-,-,-
1788,-,-,-,-,-
1789,-,-,-,-,-
1790,2018 Maruti Baleno,"592,299","22,287 km",Petrol,Manual
1791,-,-,-,-,-
1792,-,-,-,-,-
1793,-,-,-,-,-
1794,2019 Maruti S PRESSO,"403,499","18,436 km",Petrol,Manual
1795,2014 Hyundai Grand i10,"401,099","73,621 km",Petrol,Manual
1796,-,-,-,-,-
1797,-,-,-,-,-
1798,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1799,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1800,-,-,-,-,-
1801,-,-,-,-,-
1802,-,-,-,-,-
1803,-,-,-,-,-
1804,2015 Maruti Swift,"547,399","63,035 km",Diesel,Manual
1805,-,-,-,-,-
1806,2013 Maruti Swift,"354,799","76,608 km",Diesel,Manual
1807,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1808,-,-,-,-,-
1809,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1810,-,-,-,-,-
1811,-,-,-,-,-
1812,2016 Maruti Wagon R 1.0,"351,899","81,832 km",Petrol,Manual
1813,-,-,-,-,-
1814,-,-,-,-,-
1815,-,-,-,-,-
1816,2019 Maruti New Wagon-R,"577,499","18,297 km",Petrol + CNG,
1817,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1818,2018 Hyundai Creta,"1,094,699","80,569 km",Diesel,Manual
1819,-,-,-,-,-
1820,-,-,-,-,-
1821,-,-,-,-,-
1822,-,-,-,-,-
1823,2016 Maruti Ertiga,"774,199","99,644 km",Diesel,Manual
1824,2016 Maruti Baleno,"535,499","52,131 km",Petrol,Manual
1825,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1826,-,-,-,-,-
1827,-,-,-,-,-
1828,-,-,-,-,-
1829,-,-,-,-,-
1830,2018 Maruti Baleno,"592,299","22,287 km",Petrol,Manual
1831,-,-,-,-,-
1832,-,-,-,-,-
1833,-,-,-,-,-
1834,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1835,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
1836,-,-,-,-,-
1837,-,-,-,-,-
1838,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1839,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1840,-,-,-,-,-
1841,-,-,-,-,-
1842,-,-,-,-,-
1843,-,-,-,-,-
1844,2015 Maruti Swift,"547,399","63,035 km",Diesel,Manual
1845,-,-,-,-,-
1846,2017 Maruti Swift,"444,899","14,844 km",Petrol,Manual
1847,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1848,-,-,-,-,-
1849,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1850,-,-,-,-,-
1851,-,-,-,-,-
1852,2016 Maruti Wagon R 1.0,"351,899","81,832 km",Petrol,Manual
1853,-,-,-,-,-
1854,-,-,-,-,-
1855,-,-,-,-,-
1856,2019 Maruti New Wagon-R,"577,499","18,297 km",Petrol + CNG,
1857,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1858,2019 Hyundai Creta,"1,273,499","10,563 km",Petrol,
1859,-,-,-,-,-
1860,-,-,-,-,-
1861,-,-,-,-,-
1862,-,-,-,-,-
1863,2017 Maruti Ertiga,"718,499","32,938 km",Petrol,Manual
1864,2019 Maruti Baleno,"619,299","13,973 km",Petrol,Manual
1865,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1866,-,-,-,-,-
1867,-,-,-,-,-
1868,-,-,-,-,-
1869,-,-,-,-,-
1870,2019 Maruti Baleno,"607,099","23,449 km",Petrol,Manual
1871,-,-,-,-,-
1872,-,-,-,-,-
1873,-,-,-,-,-
1874,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1875,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
1876,-,-,-,-,-
1877,-,-,-,-,-
1878,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1879,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1880,-,-,-,-,-
1881,-,-,-,-,-
1882,-,-,-,-,-
1883,-,-,-,-,-
1884,2015 Maruti Swift,"547,399","63,035 km",Diesel,Manual
1885,-,-,-,-,-
1886,2015 Maruti Swift,"414,899","119,927 km",Petrol,Manual
1887,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1888,-,-,-,-,-
1889,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1890,-,-,-,-,-
1891,-,-,-,-,-
1892,2017 Maruti Wagon R 1.0,"398,299","75,524 km",Petrol,Manual
1893,-,-,-,-,-
1894,-,-,-,-,-
1895,-,-,-,-,-
1896,2019 Maruti New Wagon-R,"577,499","18,297 km",Petrol + CNG,
1897,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1898,2018 Hyundai Creta,"1,094,699","80,569 km",Diesel,Manual
1899,-,-,-,-,-
1900,-,-,-,-,-
1901,-,-,-,-,-
1902,-,-,-,-,-
1903,2017 Maruti Ertiga,"865,299","15,427 km",Diesel,Manual
1904,2019 Maruti Baleno,"619,299","13,973 km",Petrol,Manual
1905,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1906,-,-,-,-,-
1907,-,-,-,-,-
1908,-,-,-,-,-
1909,-,-,-,-,-
1910,2018 Maruti Baleno,"592,299","22,287 km",Petrol,Manual
1911,-,-,-,-,-
1912,-,-,-,-,-
1913,-,-,-,-,-
1914,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1915,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
1916,-,-,-,-,-
1917,-,-,-,-,-
1918,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1919,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1920,-,-,-,-,-
1921,-,-,-,-,-
1922,-,-,-,-,-
1923,-,-,-,-,-
1924,2015 Maruti Swift,"547,399","63,035 km",Diesel,Manual
1925,-,-,-,-,-
1926,2012 Maruti Swift,"446,999","70,572 km",Petrol,Manual
1927,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1928,-,-,-,-,-
1929,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1930,-,-,-,-,-
1931,-,-,-,-,-
1932,2016 Maruti Wagon R 1.0,"351,899","81,832 km",Petrol,Manual
1933,-,-,-,-,-
1934,-,-,-,-,-
1935,-,-,-,-,-
1936,2019 Maruti New Wagon-R,"577,499","18,297 km",Petrol + CNG,
1937,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1938,2020 Hyundai Creta,"1,556,699","8,382 km",Petrol,Manual
1939,-,-,-,-,-
1940,-,-,-,-,-
1941,-,-,-,-,-
1942,-,-,-,-,-
1943,2017 Maruti Ertiga,"865,299","15,427 km",Diesel,Manual
1944,2017 Maruti Baleno,"556,999","44,103 km",Petrol,Manual
1945,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1946,-,-,-,-,-
1947,-,-,-,-,-
1948,-,-,-,-,-
1949,-,-,-,-,-
1950,2020 Maruti Baleno,"631,999","7,237 km",Petrol,Manual
1951,-,-,-,-,-
1952,-,-,-,-,-
1953,-,-,-,-,-
1954,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1955,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
1956,-,-,-,-,-
1957,-,-,-,-,-
1958,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1959,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1960,-,-,-,-,-
1961,-,-,-,-,-
1962,-,-,-,-,-
1963,-,-,-,-,-
1964,2015 Maruti Swift,"476,599","60,507 km",Diesel,Manual
1965,-,-,-,-,-
1966,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1967,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1968,-,-,-,-,-
1969,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1970,-,-,-,-,-
1971,-,-,-,-,-
1972,2017 Maruti Wagon R 1.0,"398,299","75,524 km",Petrol,Manual
1973,-,-,-,-,-
1974,-,-,-,-,-
1975,-,-,-,-,-
1976,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1977,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1978,2018 Hyundai Creta,"1,094,699","80,569 km",Diesel,Manual
1979,-,-,-,-,-
1980,-,-,-,-,-
1981,-,-,-,-,-
1982,-,-,-,-,-
1983,2016 Maruti Ertiga,"722,699","84,394 km",Diesel,Manual
1984,2017 Maruti Baleno,"556,999","44,103 km",Petrol,Manual
1985,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
1986,-,-,-,-,-
1987,-,-,-,-,-
1988,-,-,-,-,-
1989,-,-,-,-,-
1990,2019 Maruti Baleno,"607,099","23,449 km",Petrol,Manual
1991,-,-,-,-,-
1992,-,-,-,-,-
1993,-,-,-,-,-
1994,2019 Maruti S PRESSO,"403,499","18,436 km",Petrol,Manual
1995,2016 Hyundai Grand i10,"467,699","31,884 km",Petrol,Manual
1996,-,-,-,-,-
1997,-,-,-,-,-
1998,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1999,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2000,-,-,-,-,-
2001,-,-,-,-,-
2002,-,-,-,-,-
2003,-,-,-,-,-
2004,2015 Maruti Swift,"462,899","63,600 km",Diesel,Manual
2005,-,-,-,-,-
2006,2014 Maruti Swift,"469,299","72,850 km",Diesel,Manual
2007,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2008,-,-,-,-,-
2009,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2010,-,-,-,-,-
2011,-,-,-,-,-
2012,2018 Maruti Wagon R 1.0,"423,699","53,274 km",Petrol,Manual
2013,-,-,-,-,-
2014,-,-,-,-,-
2015,-,-,-,-,-
2016,2019 Maruti New Wagon-R,"577,499","18,297 km",Petrol + CNG,
2017,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2018,2019 Hyundai Creta,"1,273,499","10,563 km",Petrol,
2019,-,-,-,-,-
2020,-,-,-,-,-
2021,-,-,-,-,-
2022,-,-,-,-,-
2023,2017 Maruti Ertiga,"718,499","32,938 km",Petrol,Manual
2024,2017 Maruti Baleno,"556,999","44,103 km",Petrol,Manual
2025,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2026,-,-,-,-,-
2027,-,-,-,-,-
2028,-,-,-,-,-
2029,-,-,-,-,-
2030,2020 Maruti Baleno,"631,999","7,237 km",Petrol,Manual
2031,-,-,-,-,-
2032,-,-,-,-,-
2033,-,-,-,-,-
2034,2019 Maruti S PRESSO,"403,499","18,436 km",Petrol,Manual
2035,2016 Hyundai Grand i10,"467,699","31,884 km",Petrol,Manual
2036,-,-,-,-,-
2037,-,-,-,-,-
2038,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
2039,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2040,-,-,-,-,-
2041,-,-,-,-,-
2042,-,-,-,-,-
2043,-,-,-,-,-
2044,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
2045,-,-,-,-,-
2046,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
2047,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2048,-,-,-,-,-
2049,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2050,-,-,-,-,-
2051,-,-,-,-,-
2052,2018 Maruti Wagon R 1.0,"423,699","53,274 km",Petrol,Manual
2053,-,-,-,-,-
2054,-,-,-,-,-
2055,-,-,-,-,-
2056,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
2057,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2058,2020 Hyundai Creta,"1,273,599","26,284 km",Diesel,Manual
2059,-,-,-,-,-
2060,-,-,-,-,-
2061,-,-,-,-,-
2062,-,-,-,-,-
2063,2016 Maruti Ertiga,"774,199","99,644 km",Diesel,Manual
2064,2017 Maruti Baleno,"556,999","44,103 km",Petrol,Manual
2065,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2066,-,-,-,-,-
2067,-,-,-,-,-
2068,-,-,-,-,-
2069,-,-,-,-,-
2070,2016 Maruti Baleno,"591,699","79,991 km",Petrol,Manual
2071,-,-,-,-,-
2072,-,-,-,-,-
2073,-,-,-,-,-
2074,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
2075,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
2076,-,-,-,-,-
2077,-,-,-,-,-
2078,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
2079,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2080,-,-,-,-,-
2081,-,-,-,-,-
2082,-,-,-,-,-
2083,-,-,-,-,-
2084,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
2085,-,-,-,-,-
2086,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
2087,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2088,-,-,-,-,-
2089,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2090,-,-,-,-,-
2091,-,-,-,-,-
2092,2015 Maruti Wagon R 1.0,"377,799","62,630 km",Petrol,Manual
2093,-,-,-,-,-
2094,-,-,-,-,-
2095,-,-,-,-,-
2096,2019 Maruti New Wagon-R,"577,499","18,297 km",Petrol + CNG,
2097,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2098,2019 Hyundai Creta,"1,273,499","10,563 km",Petrol,
2099,-,-,-,-,-
2100,-,-,-,-,-
2101,-,-,-,-,-
2102,-,-,-,-,-
2103,2016 Maruti Ertiga,"774,199","99,644 km",Diesel,Manual
2104,2016 Maruti Baleno,"591,699","79,991 km",Petrol,Manual
2105,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2106,-,-,-,-,-
2107,-,-,-,-,-
2108,-,-,-,-,-
2109,-,-,-,-,-
2110,2016 Maruti Baleno,"591,699","79,991 km",Petrol,Manual
2111,-,-,-,-,-
2112,-,-,-,-,-
2113,-,-,-,-,-
2114,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
2115,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
2116,-,-,-,-,-
2117,-,-,-,-,-
2118,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
2119,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2120,-,-,-,-,-
2121,-,-,-,-,-
2122,-,-,-,-,-
2123,-,-,-,-,-
2124,2016 Maruti Swift Dzire,"539,899","59,743 km",Diesel,
2125,-,-,-,-,-
2126,2012 Maruti Swift,"446,999","70,572 km",Petrol,Manual
2127,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2128,-,-,-,-,-
2129,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2130,-,-,-,-,-
2131,-,-,-,-,-
2132,2015 Maruti Wagon R 1.0,"377,799","62,630 km",Petrol,Manual
2133,-,-,-,-,-
2134,-,-,-,-,-
2135,-,-,-,-,-
2136,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
2137,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2138,2020 Hyundai Creta,"1,273,599","26,284 km",Diesel,Manual
2139,-,-,-,-,-
2140,-,-,-,-,-
2141,-,-,-,-,-
2142,-,-,-,-,-
2143,2017 Maruti Ertiga,"776,299","54,343 km",Diesel,Manual
2144,2017 Maruti Baleno,"561,299","53,917 km",Petrol,Manual
2145,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2146,-,-,-,-,-
2147,-,-,-,-,-
2148,-,-,-,-,-
2149,-,-,-,-,-
2150,2018 Maruti Baleno,"592,299","22,287 km",Petrol,Manual
2151,-,-,-,-,-
2152,-,-,-,-,-
2153,-,-,-,-,-
2154,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
2155,2014 Hyundai Grand i10,"401,099","73,621 km",Petrol,Manual
2156,-,-,-,-,-
2157,-,-,-,-,-
2158,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
2159,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2160,-,-,-,-,-
2161,-,-,-,-,-
2162,-,-,-,-,-
2163,-,-,-,-,-
2164,2014 Maruti Swift,"452,299","44,609 km",Diesel,Manual
2165,-,-,-,-,-
2166,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
2167,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2168,-,-,-,-,-
2169,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2170,-,-,-,-,-
2171,-,-,-,-,-
2172,2018 Maruti Wagon R 1.0,"482,999","40,773 km",Petrol,Manual
2173,-,-,-,-,-
2174,-,-,-,-,-
2175,-,-,-,-,-
2176,2020 Maruti New Wagon-R,"498,799","6,879 km",Petrol,Manual
2177,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2178,2020 Hyundai Creta,"1,273,599","26,284 km",Diesel,Manual
2179,-,-,-,-,-
2180,-,-,-,-,-
2181,-,-,-,-,-
2182,-,-,-,-,-
2183,2017 Maruti Ertiga,"865,299","15,427 km",Diesel,Manual
2184,2016 Maruti Baleno,"604,799","103,172 km",Petrol,Manual
2185,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2186,-,-,-,-,-
2187,-,-,-,-,-
2188,-,-,-,-,-
2189,-,-,-,-,-
2190,2017 Maruti Baleno,"618,099","18,994 km",Petrol,Manual
2191,-,-,-,-,-
2192,-,-,-,-,-
2193,-,-,-,-,-
2194,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
2195,2017 Hyundai Grand i10,"477,599","21,631 km",Petrol,Manual
2196,-,-,-,-,-
2197,-,-,-,-,-
2198,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
2199,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2200,-,-,-,-,-
2201,-,-,-,-,-
2202,-,-,-,-,-
2203,-,-,-,-,-
2204,2016 Maruti Swift,"487,699","79,244 km",Diesel,Manual
2205,-,-,-,-,-
2206,2014 Maruti Swift,"482,099","106,440 km",Petrol,Manual
2207,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2208,-,-,-,-,-
2209,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2210,-,-,-,-,-
2211,-,-,-,-,-
2212,2018 Maruti Wagon R 1.0,"482,999","40,773 km",Petrol,Manual
2213,-,-,-,-,-
2214,-,-,-,-,-
2215,-,-,-,-,-
2216,2020 Maruti New Wagon-R,"488,899","3,865 km",Petrol,Manual
2217,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2218,2019 Hyundai Creta,"1,273,499","10,563 km",Petrol,
2219,-,-,-,-,-
2220,-,-,-,-,-
2221,-,-,-,-,-
2222,-,-,-,-,-
2223,2020 Maruti Ertiga,"935,599","10,408 km",Petrol,Manual
2224,2016 Maruti Baleno,"604,799","103,172 km",Petrol,Manual
2225,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2226,-,-,-,-,-
2227,-,-,-,-,-
2228,-,-,-,-,-
2229,-,-,-,-,-
2230,2016 Maruti Baleno,"591,699","79,991 km",Petrol,Manual
2231,-,-,-,-,-
2232,-,-,-,-,-
2233,-,-,-,-,-
2234,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
2235,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
2236,-,-,-,-,-
2237,-,-,-,-,-
2238,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
2239,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2240,-,-,-,-,-
2241,-,-,-,-,-
2242,-,-,-,-,-
2243,-,-,-,-,-
2244,2016 Maruti Swift,"487,699","79,244 km",Diesel,Manual
2245,-,-,-,-,-
2246,2015 Maruti Swift,"419,799","71,310 km",Petrol,Manual
2247,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2248,-,-,-,-,-
2249,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2250,-,-,-,-,-
2251,-,-,-,-,-
2252,2015 Maruti Wagon R 1.0,"331,899","71,410 km",Petrol,Manual
2253,-,-,-,-,-
2254,-,-,-,-,-
2255,-,-,-,-,-
2256,2020 Maruti New Wagon-R,"488,899","3,865 km",Petrol,Manual
2257,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2258,2019 Hyundai Creta,"1,273,499","10,563 km",Petrol,
2259,-,-,-,-,-
2260,-,-,-,-,-
2261,-,-,-,-,-
2262,-,-,-,-,-
2263,2017 Maruti Ertiga,"865,299","15,427 km",Diesel,Manual
2264,2017 Maruti Baleno,"516,899","56,095 km",Petrol,Manual
2265,2014 Nissan Terrano,"447,599","53,750 km",Diesel,Manual
2266,-,-,-,-,-
2267,-,-,-,-,-
2268,-,-,-,-,-
2269,-,-,-,-,-
2270,2017 Maruti Baleno,"618,099","18,994 km",Petrol,Manual
2271,-,-,-,-,-
2272,-,-,-,-,-
2273,-,-,-,-,-
2274,2019 Maruti S PRESSO,"403,499","18,436 km",Petrol,Manual
2275,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
2276,-,-,-,-,-
