,name,selling_price,km_driven,fuel,transmission
736,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
737,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
738,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
739,-,-,-,-,-
740,-,-,-,-,-
741,-,-,-,-,-
742,-,-,-,-,-
743,-,-,-,-,-
744,2015 Maruti Swift,"476,599","60,507 km",Diesel,Manual
745,-,-,-,-,-
746,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
747,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
748,-,-,-,-,-
749,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
750,-,-,-,-,-
751,-,-,-,-,-
752,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
753,-,-,-,-,-
754,-,-,-,-,-
755,-,-,-,-,-
756,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
757,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
758,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
759,-,-,-,-,-
760,-,-,-,-,-
761,-,-,-,-,-
762,-,-,-,-,-
763,-,-,-,-,-
764,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
765,-,-,-,-,-
766,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
767,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
768,-,-,-,-,-
769,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
770,-,-,-,-,-
771,-,-,-,-,-
772,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
773,-,-,-,-,-
774,-,-,-,-,-
775,-,-,-,-,-
776,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
777,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
778,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
779,-,-,-,-,-
780,-,-,-,-,-
781,-,-,-,-,-
782,-,-,-,-,-
783,-,-,-,-,-
784,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
785,-,-,-,-,-
786,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
787,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
788,-,-,-,-,-
789,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
790,-,-,-,-,-
791,-,-,-,-,-
792,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
793,-,-,-,-,-
794,-,-,-,-,-
795,-,-,-,-,-
796,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
797,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
798,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
799,-,-,-,-,-
800,-,-,-,-,-
801,-,-,-,-,-
802,-,-,-,-,-
803,-,-,-,-,-
804,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
805,-,-,-,-,-
806,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
807,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
808,-,-,-,-,-
809,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
810,-,-,-,-,-
811,-,-,-,-,-
812,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
813,-,-,-,-,-
814,-,-,-,-,-
815,-,-,-,-,-
816,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
817,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
818,2017 Hyundai Creta,"1,127,699","77,777 km",Diesel,Automatic
819,-,-,-,-,-
820,-,-,-,-,-
821,-,-,-,-,-
822,-,-,-,-,-
823,-,-,-,-,-
824,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
825,-,-,-,-,-
826,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
827,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
828,-,-,-,-,-
829,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
830,-,-,-,-,-
831,-,-,-,-,-
832,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
833,-,-,-,-,-
834,-,-,-,-,-
835,-,-,-,-,-
836,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
837,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
838,2020 Hyundai Creta,"1,534,299","8,382 km",Petrol,Manual
839,-,-,-,-,-
840,-,-,-,-,-
841,-,-,-,-,-
842,-,-,-,-,-
843,-,-,-,-,-
844,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
845,-,-,-,-,-
846,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
847,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
848,-,-,-,-,-
849,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
850,-,-,-,-,-
851,-,-,-,-,-
852,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
853,-,-,-,-,-
854,-,-,-,-,-
855,-,-,-,-,-
856,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
857,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
858,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
859,-,-,-,-,-
860,-,-,-,-,-
861,-,-,-,-,-
862,-,-,-,-,-
863,-,-,-,-,-
864,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
865,-,-,-,-,-
866,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
867,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
868,-,-,-,-,-
869,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
870,-,-,-,-,-
871,-,-,-,-,-
872,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
873,-,-,-,-,-
874,-,-,-,-,-
875,-,-,-,-,-
876,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
877,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
878,2020 Hyundai Creta,"1,534,299","8,382 km",Petrol,Manual
879,-,-,-,-,-
880,-,-,-,-,-
881,-,-,-,-,-
882,-,-,-,-,-
883,-,-,-,-,-
884,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
885,-,-,-,-,-
886,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
887,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
888,-,-,-,-,-
889,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
890,-,-,-,-,-
891,-,-,-,-,-
892,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
893,-,-,-,-,-
894,-,-,-,-,-
895,-,-,-,-,-
896,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
897,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
898,2019 Hyundai Creta,"1,206,099","43,509 km",Petrol,
899,-,-,-,-,-
900,-,-,-,-,-
901,-,-,-,-,-
902,-,-,-,-,-
903,-,-,-,-,-
904,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
905,-,-,-,-,-
906,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
907,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
908,-,-,-,-,-
909,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
910,-,-,-,-,-
911,-,-,-,-,-
912,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
913,-,-,-,-,-
914,-,-,-,-,-
915,-,-,-,-,-
916,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
917,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
918,2020 Hyundai Creta,"1,534,299","8,382 km",Petrol,Manual
919,-,-,-,-,-
920,-,-,-,-,-
921,-,-,-,-,-
922,-,-,-,-,-
923,-,-,-,-,-
924,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
925,-,-,-,-,-
926,2015 Maruti Swift,"464,999","26,749 km",Petrol,Manual
927,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
928,-,-,-,-,-
929,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
930,-,-,-,-,-
931,-,-,-,-,-
932,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
933,-,-,-,-,-
934,-,-,-,-,-
935,-,-,-,-,-
936,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
937,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
938,2019 Hyundai Creta,"1,206,099","43,509 km",Petrol,
939,-,-,-,-,-
940,-,-,-,-,-
941,-,-,-,-,-
942,-,-,-,-,-
943,-,-,-,-,-
944,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
945,-,-,-,-,-
946,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
947,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
948,-,-,-,-,-
949,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
950,-,-,-,-,-
951,-,-,-,-,-
952,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
953,-,-,-,-,-
954,-,-,-,-,-
955,-,-,-,-,-
956,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
957,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
958,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
959,-,-,-,-,-
960,-,-,-,-,-
961,-,-,-,-,-
962,-,-,-,-,-
963,-,-,-,-,-
964,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
965,-,-,-,-,-
966,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
967,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
968,-,-,-,-,-
969,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
970,-,-,-,-,-
971,-,-,-,-,-
972,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
973,-,-,-,-,-
974,-,-,-,-,-
975,-,-,-,-,-
976,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
977,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
